0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
"['Arizona Cardinals', 2012]","{'Role': 'Owner/chairman', 'Name': 'Bill Bidwill'}","{'Role': 'President', 'Name': 'Michael Bidwill'}","{'Role': 'general manager', 'Name': 'Rod Graves'}","{'Role': 'Director of football administration', 'Name': 'Reggie Terry'}","{'Role': 'Director of player personnel', 'Name': 'Steve Keim'}","{'Role': 'Director of pro personnel', 'Name': 'Jason Licht'}","{'Role': 'Assistant director of pro personnel', 'Name': 'Quentin Harris'}","{'Role': 'Head coach', 'Name': 'Ken Whisenhunt'}","{'Role': 'Assistant head coach/run game coordinator/offensive line', 'Name': 'Russ Grimm'}","{'Role': 'Offensive coordinator', 'Name': 'Mike Miller'}","{'Role': 'Quarterbacks', 'Name': 'John McNulty'}","{'Role': 'Running backs', 'Name': 'Tommie Robinson'}","{'Role': 'Wide receivers', 'Name': 'Frank Reich'}","{'Role': 'Tight ends', 'Name': 'Freddie Kitchens'}","{'Role': 'Offensive quality control', 'Name': 'Chad Grimm'}","{'Role': 'Defensive coordinator', 'Name': 'Ray Horton'}","{'Role': 'Defensive line', 'Name': 'Ron Aiken'}","{'Role': 'Linebackers', 'Name': 'Matt Raich'}","{'Role': 'Defensive backs', 'Name': 'Louie Cioffi'}","{'Role': 'Assistant defensive backs', 'Name': 'Deshea Townsend'}","{'Role': 'Defensive quality control', 'Name': 'Ryan Slowik'}","{'Role': 'Special teams', 'Name': 'Kevin Spencer'}","{'Role': 'Strength and conditioning', 'Name': 'John Lott'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Pete Alosi'}",,,,,,,,,,,
"['Arizona Cardinals', 2018]","{'Role': 'Owner/chairman', 'Name': 'Bill Bidwill'}","{'Role': 'President', 'Name': 'Michael Bidwill'}","{'Role': 'General manager', 'Name': 'Steve Keim'}","{'Role': 'Vice president of player personnel', 'Name': 'Terry McDonough'}","{'Role': 'Director of college scouting', 'Name': 'Dru Grigson'}","{'Role': 'Director of pro scouting', 'Name': 'Quentin Harris'}","{'Role': 'Director of football administration', 'Name': 'Mike Disner'}","{'Role': 'Director of football operations', 'Name': 'Matt Caracciolo'}","{'Role': 'Head coach', 'Name': 'Steve Wilks'}","{'Role': 'Assistant to the head coach', 'Name': 'Ben Burress'}","{'Role': 'Offensive coordinator', 'Name': 'Mike McCoy (fired Oct 19, 2018)'}","{'Role': 'Quarterbacks', 'Name': 'Byron Leftwich (interim Offensive Coordinator)'}","{'Role': 'Running backs', 'Name': 'Kirby Wilson'}","{'Role': 'Wide receivers', 'Name': 'Kevin Garver'}","{'Role': 'Tight ends', 'Name': 'Jason Michael'}","{'Role': 'Offensive line', 'Name': 'Ray Brown'}","{'Role': 'Assistant offensive line', 'Name': 'Steve Heiden'}","{'Role': 'Offensive assistant', 'Name': 'Cameron Turner'}","{'Role': 'Offensive quality control', 'Name': 'Troy Rothenbuhler'}","{'Role': 'Bill Bidwill Fellowship/assistant running backs', 'Name': 'Terry Allen'}","{'Role': 'Defensive coordinator', 'Name': 'Al Holcomb'}","{'Role': 'Senior assistant/defensive line', 'Name': 'Don Johnson'}","{'Role': 'Assistant defensive line', 'Name': 'Chris Achuff'}","{'Role': 'Linebackers', 'Name': 'Larry Foote'}","{'Role': 'Defensive backs', 'Name': 'Dave Merritt'}","{'Role': 'Assistant defensive backs', 'Name': 'Charlie Harbison'}","{'Role': 'Defensive quality control', 'Name': 'Alonso Escalante'}","{'Role': 'Special teams coordinator', 'Name': 'Jeff Rodgers'}","{'Role': 'Assistant special teams', 'Name': 'Randall McCray'}","{'Role': 'Strength and conditioning', 'Name': 'Buddy Morris'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Vernon Stephens'}","{'Role': 'Sports science coordinator', 'Name': 'Evan Lodder'}",,,
"['Arizona Cardinals', 2014]","{'Role': 'Owner/chairman', 'Name': 'Bill Bidwill'}","{'Role': 'President', 'Name': 'Michael Bidwill'}","{'Role': 'General manager', 'Name': 'Steve Keim'}","{'Role': 'Vice president of player personnel', 'Name': 'Terry McDonough'}","{'Role': 'Director of college scouting', 'Name': 'Dru Grigson'}","{'Role': 'Director of pro scouting', 'Name': 'Quentin Harris'}","{'Role': 'Head coach', 'Name': 'Bruce Arians'}","{'Role': 'Assistant head coach/offense', 'Name': 'Tom Moore'}","{'Role': 'Offensive coordinator/offensive line', 'Name': 'Harold Goodwin'}","{'Role': 'Quarterbacks', 'Name': 'Freddie Kitchens'}","{'Role': 'Running backs', 'Name': 'Stump Mitchell'}","{'Role': 'Wide receivers', 'Name': 'Darryl Drake'}","{'Role': 'Tight ends', 'Name': 'Rick Christophel'}","{'Role': 'Assistant tight ends/assistant special teams', 'Name': 'Steve Heiden'}","{'Role': 'Assistant offensive line', 'Name': 'Larry Zierlein'}","{'Role': 'Offensive assistant', 'Name': 'David Diaz–Infante'}","{'Role': 'Offensive quality control', 'Name': 'Kevin Garver'}","{'Role': 'Defensive coordinator', 'Name': 'Todd Bowles'}","{'Role': 'Defensive line', 'Name': 'Brentson Buckner'}","{'Role': 'Outside linebackers', 'Name': 'James Bettcher'}","{'Role': 'Inside linebackers', 'Name': 'Mike Caldwell'}","{'Role': 'Defensive backs', 'Name': 'Nick Rapone'}","{'Role': 'Cornerbacks', 'Name': 'Kevin Ross'}","{'Role': 'Defensive assistant/assistant defensive backs', 'Name': 'Ryan Slowik'}","{'Role': 'Pass rush specialist', 'Name': 'Tom Pratt'}","{'Role': 'Special teams coordinator', 'Name': 'Amos Jones'}","{'Role': 'Assistant special teams', 'Name': 'Anthony Blevins'}","{'Role': 'Strength and conditioning', 'Name': 'Buddy Morris'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Pete Alosi'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Roger Kingdom'}",,,,,
"['Arizona Cardinals', 2017]","{'Role': 'Owner/chairman', 'Name': 'Bill Bidwill'}","{'Role': 'President', 'Name': 'Michael Bidwill'}","{'Role': 'General manager', 'Name': 'Steve Keim'}","{'Role': 'Vice president of player personnel', 'Name': 'Terry McDonough'}","{'Role': 'Director of college scouting', 'Name': 'Dru Grigson'}","{'Role': 'Director of pro scouting', 'Name': 'Quentin Harris'}","{'Role': 'Director of football administration', 'Name': 'Mike Disner'}","{'Role': 'Director of football operations', 'Name': 'Matt Caracciolo'}","{'Role': 'Head coach', 'Name': 'Bruce Arians'}","{'Role': 'Assistant head coach/offense', 'Name': 'Tom Moore'}","{'Role': 'Offensive coordinator/offensive line', 'Name': 'Harold Goodwin'}","{'Role': 'Quarterbacks', 'Name': 'Byron Leftwich'}","{'Role': 'Running backs', 'Name': 'Freddie Kitchens'}","{'Role': 'Wide receivers', 'Name': 'Darryl Drake'}","{'Role': 'Tight ends', 'Name': 'Rick Christophel'}","{'Role': 'Assistant tight ends/assistant special teams', 'Name': 'Steve Heiden'}","{'Role': 'Assistant offensive line', 'Name': 'Larry Zierlein'}","{'Role': 'Offensive assistant', 'Name': 'Kevin Garver'}","{'Role': 'Defensive coordinator', 'Name': 'James Bettcher'}","{'Role': 'Defensive line', 'Name': 'Brentson Buckner'}","{'Role': 'Outside linebackers', 'Name': 'Bob Sanders'}","{'Role': 'Inside linebackers', 'Name': 'Larry Foote'}","{'Role': 'Defensive backs', 'Name': 'Nick Rapone'}","{'Role': 'Cornerbacks', 'Name': 'Kevin Ross'}","{'Role': 'Defensive assistant/defensive backs', 'Name': 'Mike Chiurco'}","{'Role': 'Pass rush specialist', 'Name': 'Tom Pratt'}","{'Role': 'Special teams coordinator', 'Name': 'Amos Jones'}","{'Role': 'Assistant special teams', 'Name': 'Anthony Blevins'}","{'Role': 'Strength and conditioning', 'Name': 'Buddy Morris'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Roger Kingdom'}",,,,,
"['Arizona Cardinals', 2013]","{'Role': 'Owner/chairman', 'Name': 'Bill Bidwill'}","{'Role': 'President', 'Name': 'Michael Bidwill'}","{'Role': 'general manager', 'Name': 'Steve Keim'}","{'Role': 'Vice president of player personnel', 'Name': 'Jason Licht'}","{'Role': 'Director of college scouting', 'Name': 'Dru Grigson'}","{'Role': 'Director of pro scouting', 'Name': 'Quentin Harris'}","{'Role': 'Head coach', 'Name': 'Bruce Arians'}","{'Role': 'Assistant head coach/offense', 'Name': 'Tom Moore'}","{'Role': 'Offensive coordinator/offensive line', 'Name': 'Harold Goodwin'}","{'Role': 'Quarterbacks', 'Name': 'Freddie Kitchens'}","{'Role': 'Running backs', 'Name': 'Stump Mitchell'}","{'Role': 'Wide receivers', 'Name': 'Darryl Drake'}","{'Role': 'Tight ends', 'Name': 'Rick Christophel'}","{'Role': 'Assistant tight ends/assistant special teams', 'Name': 'Steve Heiden'}","{'Role': 'Assistant offensive line', 'Name': 'Larry Zierlein'}","{'Role': 'Offensive quality control', 'Name': 'Kevin Garver'}","{'Role': 'Defensive coordinator', 'Name': 'Todd Bowles'}","{'Role': 'Defensive line', 'Name': 'Brentson Buckner'}","{'Role': 'Outside linebackers', 'Name': 'James Bettcher'}","{'Role': 'Inside linebackers', 'Name': 'Mike Caldwell'}","{'Role': 'Defensive backs', 'Name': 'Nick Rapone'}","{'Role': 'Cornerbacks', 'Name': 'Kevin Ross'}","{'Role': 'Defensive assistant/assistant defensive backs', 'Name': 'Ryan Slowik'}","{'Role': 'Pass rush specialist', 'Name': 'Tom Pratt'}","{'Role': 'Special teams coordinator', 'Name': 'Amos Jones'}","{'Role': 'Assistant special teams coach', 'Name': 'Anthony Blevins'}","{'Role': 'Strength and conditioning', 'Name': 'John Lott'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Pete Alosi'}",,,,,,,
"['Arizona Cardinals', 2016]","{'Role': 'Owner/chairman', 'Name': 'Bill Bidwill'}","{'Role': 'President', 'Name': 'Michael Bidwill'}","{'Role': 'general manager', 'Name': 'Steve Keim'}","{'Role': 'Vice president of player personnel', 'Name': 'Terry McDonough'}","{'Role': 'Director of college scouting', 'Name': 'Dru Grigson'}","{'Role': 'Director of pro scouting', 'Name': 'Quentin Harris'}","{'Role': 'Assistant director of pro scouting', 'Name': 'Malik Boyd'}","{'Role': 'Director of football administration', 'Name': 'Mike Disner'}","{'Role': 'Head coach', 'Name': 'Bruce Arians'}","{'Role': 'Assistant head coach/offense', 'Name': 'Tom Moore'}","{'Role': 'Offensive coordinator/offensive line', 'Name': 'Harold Goodwin'}","{'Role': 'Quarterbacks', 'Name': 'Freddie Kitchens'}","{'Role': 'Running backs', 'Name': 'Stump Mitchell'}","{'Role': 'Wide receivers', 'Name': 'Darryl Drake'}","{'Role': 'Tight ends', 'Name': 'Rick Christophel'}","{'Role': 'Assistant tight ends/assistant special teams', 'Name': 'Steve Heiden'}","{'Role': 'Assistant offensive line', 'Name': 'Larry Zierlein'}","{'Role': 'Offensive assistant', 'Name': 'Kevin Garver'}","{'Role': 'Defensive coordinator', 'Name': 'James Bettcher'}","{'Role': 'Defensive line', 'Name': 'Brentson Buckner'}","{'Role': 'Outside linebackers', 'Name': 'Bob Sanders'}","{'Role': 'Inside linebackers', 'Name': 'Larry Foote'}","{'Role': 'Defensive backs', 'Name': 'Nick Rapone'}","{'Role': 'Cornerbacks', 'Name': 'Kevin Ross'}","{'Role': 'Defensive assistant/defensive backs', 'Name': 'Mike Chiurco'}","{'Role': 'Pass rush specialist', 'Name': 'Tom Pratt'}","{'Role': 'Special teams coordinator', 'Name': 'Amos Jones'}","{'Role': 'Assistant special teams', 'Name': 'Anthony Blevins'}","{'Role': 'Strength and conditioning', 'Name': 'Buddy Morris'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Roger Kingdom'}",,,,,
"['Arizona Cardinals', 2020]","{'Role': 'Owner', 'Name': 'Bidwill family'}","{'Role': 'Chairman/president', 'Name': 'Michael Bidwill'}","{'Role': 'General manager', 'Name': 'Steve Keim'}","{'Role': 'Director of player personnel', 'Name': 'Quentin Harris'}","{'Role': 'Assistant director of player personnel', 'Name': 'Dru Grigson'}","{'Role': 'Vice president of player personnel', 'Name': 'Terry McDonough'}","{'Role': 'Director of college scouting', 'Name': 'Chris Culmer'}","{'Role': 'Director of pro scouting', 'Name': 'Adrian Wilson'}","{'Role': 'Director of football administration', 'Name': 'Matt Harriss'}","{'Role': 'Director of football operations', 'Name': 'Matt Caracciolo'}","{'Role': 'Head coach', 'Name': 'Kliff Kingsbury'}","{'Role': 'Assistant head coach/special teams coordinator', 'Name': 'Jeff Rodgers'}","{'Role': 'Pass game coordinator/quarterbacks', 'Name': 'Tom Clements'}","{'Role': 'Running backs', 'Name': 'James Saxon'}","{'Role': 'Wide receivers', 'Name': 'David Raih'}","{'Role': 'Assistant wide receivers', 'Name': 'Spencer Whipple'}","{'Role': 'Tight ends', 'Name': 'Steve Heiden'}","{'Role': 'Offensive line', 'Name': 'Sean Kugler'}","{'Role': 'Assistant offensive line', 'Name': 'Brian Natkin'}","{'Role': 'Offensive assistant/assistant quarterbacks', 'Name': 'Cameron Turner'}","{'Role': 'Offensive assistant', 'Name': 'Jerry Sullivan'}","{'Role': 'Offensive assistant', 'Name': 'Don Shumpert'}","{'Role': 'Offensive quality control', 'Name': 'Jim Dray'}","{'Role': 'Bill bidwill coaching fellowship/assistant quarterbacks', 'Name': 'Jordan Hogan'}","{'Role': 'Defensive coordinator', 'Name': 'Vance Joseph'}","{'Role': 'Defensive line', 'Name': 'Brentson Buckner'}","{'Role': 'Linebackers', 'Name': 'Billy Davis'}","{'Role': 'Outside linebackers', 'Name': 'Charlie Bullen'}","{'Role': 'Defensive backs', 'Name': 'Marcus Robertson'}","{'Role': 'Cornerbacks', 'Name': 'Greg Williams'}","{'Role': 'Defensive assistant', 'Name': 'Rusty McKinney'}","{'Role': 'Defensive quality control', 'Name': 'Rob Grosso'}","{'Role': 'Assistant special teams', 'Name': 'Derius Swinton'}","{'Role': 'Strength and conditioning', 'Name': 'Buddy Morris'}","{'Role': 'Assistant strength and conditioning', 'Name': 'Mark Naylor'}"
